appid,windows_req,mac_req,linux_req,required_age,awards
730,"Минимальные: ОС: Windows® 10 Процессор: 4-потоковый процессор — Intel® Core™ i5 750 или лучше Оперативная память: 8 GB ОЗУ Видеокарта: с 1 ГБ памяти или больше, совместимая с DirectX 11 и поддерживающая Shader Model 5.0 DirectX: версии 11 Место на диске: 85 GB",Минимальные: ОС: MacOS X 10.11 (El Capitan) или новее Процессор: Intel Core Duo (2 ГГц или лучше) Оперативная память: 2 GB ОЗУ Видеокарта: ATI Radeon HD 2400 или лучше / NVIDIA 8600M или лучше Место на диске: 15 GB,Минимальные: ОС: Ubuntu 20.04 Процессор: 4-потоковый процессор — Intel® Core™ i5 750 или лучше Оперативная память: 8 GB ОЗУ Видеокарта: AMD GCN+ или NVIDIA Kepler+ с актуальными драйверами Vulkan. Очень рекомендуется поддержка библиотеки VK_EXT_graphics_pipeline_library. Место на диске: 85 GB Звуковая карта: очень рекомендуется,0,Award
1250,Minimum: OS *: Windows XP/Vista Processor: 1.2 GHZ or Equivalent Memory: 1 GB RAM Graphics: 64 MB DX9 Compliant Hard Drive: 2 GB free hard drive space Sound: DX 8.1 Compatible Audio,"OS: OS X version Leopard 10.5.8, Snow Leopard 10.6.3, or later. Processor: Intel Mac Graphics: Nvidia or ATI GPU (Intel GPUs unsupported)","Minimum: OS: Ubuntu 12.04 LTS, fully updated Processor: 1.2 GHZ or Equivalent Memory: 1 GB RAM Graphics: Nvidia, ATI, or Intel GPU with hardware-accelerated drivers Hard Drive: 2 GB free hard drive space",0,
3710,"Supported OS: Microsoft® Windows® XP/Vista Processor: Intel Pentium III or AMD Athlon 700MHz computer or equivalent Graphics: 32MB graphics card that supports Transform and Lighting (GeForce 1, ATI Radeon 7500 or better) Sound: Windows compatible sound card DirectX Version: DirectX 9.0 Memory: 128 MB RAM Hard Drive: 1.5 GB free hard disk space",,,0,
6200,"Minimum: Pentium® III 450. Windows® 98,ME,XP,2000. NVIDIA® TNT2 3D card. 128MB of RAM. 750MB of free hard disc space. DirectX® 8.1. Mouse, keyboard. Recommended: Pentium® IV 1.5GHz. ATI® Radeon™7500/NVIDIA®GeForce2 3D card. 256MB of RAM.",,,0,
7520,"OS *: Windows 7, 8, 10 Processor: Intel or AMD Dual-Core Prozessor (2,0 GHz) or better Memory: 4 GB or more Graphics: Radeon HD, Geforce (Shader 3.0 and 512 MB RAM) DirectX®: DirectX 10 Hard Drive: 12 GB Sound: DirectX comp. Stereo Sound Card Other: Internet connection with 16 KBPS or more for Multiplayer recommended","Minimum: OS: OS X Snow Leopard 10.6.3 or later. Processor: Intel Mac (2,0 GHz) Memory: 4 GB RAM Graphics: Shader 4.0 and 512 MB RAM Hard Drive: 12 GB hard drive space Other: Internet connection for Multiplayer Peripherals: Mouse, Keyboard",,0,
11050,Minimum: Supported OS: WINDOWS XP SP2/VISTA Processor: PENTIUM 4 1.5 GHZ/ATHLON XP 1500+ Memory: 512 MB RAM Graphics: 64 MB DIRECTX 9 COMPATIBLE GRAPHICS CARD DirectX Version: DirectX 9.0c or Higher Sound: DIRECTX 9 COMPATIBLE SOUND CARD Hard Drive: 3 GB HARD DISK SPACE,,,0,
11260,Minimum: Supported OS: Windows Vista/XP/2000/7/8/8.1 Processor: 2 GHz Processor Memory: 512 Mb Graphics: DirectX compatible 128 MB graphics card DirectX Version: DirectX 9.0c or higher Sound: 100% DirectX 9.0c compatible sound card Hard Drive: 3 GB of free space on disk,,,0,
12530,Minimum: OS *: Microsoft® Windows® XP/Vista Processor: Pentium® 4 1.4 GHz or 100% compatible (2.0 GHz Pentium 4 or compatible recommended) Memory: 256 MB RAM 512 MB RAM recommended) Graphics: 64 MB (128 MB recommended) DirectX 9 compatible video accelerator card Hard Drive: 1 GB hard drive space Sound Card: DirectX 9 compatible sound card Input: Keyboard and mouse,,,0,
15960,OS *: Windows 2000 / XP Processor: 800MHz Memory: 256MB RAM Graphics: 64 MB DirectX 8.1 compatible graphics card or better Hard Drive: 167MB free HD space,,,0,
22300,"Minimum: Operating system: Windows XP/Vista Processor: 2.4 Ghz Intel Pentium 4 or equivalent processor Memory: 1 GB (XP)/ 2 GB (Vista) Hard disk space: 7 GB Video: Direct X 9.0c compliant video card with 256MB RAM (NVIDIA 6800 or better/ATI X850 or better) Sound: DirectX®: 9.0c Controller support: Xbox 360 controller Other Requirements: Online play requires log-in to Games For Windows - Live Supported Video Card Chipsets: NVIDIA GeForce 200 series, Geforce 9800 series, Geforce 9600 series, Geforce 8800 series, Geforce 8600 series, Geforce 8500 series, Geforce 8400 series, Geforce 7900 series, Geforce 7800 series, Geforce 7600 series, Geforce 7300 series, GeForce 6800 series ATI HD 4800 series, HD 4600 series, HD 3800 series, HD 3600 series, HD 3400 series, HD 2900 series, HD 2600 series, HD 2400 series, X1900 series, X1800 series, X1600 series, X1300 series, X850 series",,,0,
23700,"Supported OS: Microsoft® Windows® XP or Vista Processor: Pentium 4, 1.5GHz or better CPU Memory: 256 MB RAM Graphics: ANVidia 5 series or better, ATI 8 series or better Sound: DirectSound compatible sound card Hard Drive: 500 MB Hard Drive space DirectX Version: DirectX 9.0c (Nov 2007 edition)",,,0,
25000,Minimum: OS *: Windows 7 or later (64-bit) Processor: Passmark CPU 1000 or better Memory: 4 GB RAM Graphics: Passmark GPU 500 or better with OpenGL 3.2 support Storage: 35 GB available space,"Minimum: OS: Mac OS 10.6 or later (Intel only, not M1) Processor: Passmark CPU 1000 or better Memory: 4 GB RAM Graphics: Passmark GPU 500 or better with OpenGL 3.2 support Storage: 35 GB available space",Minimum: OS: 64-bit Steam-OS Compatible environment Processor: Passmark CPU 1000 or better Memory: 4 GB RAM Graphics: Passmark GPU 500 or better with OpenGL 3.2 support Storage: 35 GB available space,0,
91700,"Minimum: OS *: Windows® 7 32/64-bit / Vista 32/64 / XP Processor: Pentium 4 3.0GHz, Athlon 64 3000+ or better Memory: 1 GB for XP / 2GB for Vista Hard Disk Space: At least 6 GB of free space Video Card: : DirectX 9 compatible video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or better DirectX®: 9.0c Sound: DirectX 9.0c compatible sound card Additional: Internet Connection required for multiplayer",,,0,
91800,OS: Windows 98 or higher Processor: 2.0Ghz or higher Memory: 512 MB Graphics: Shader version 2.0 or higher (does not support Intel integrated graphics card) DirectX®: 9.0c Hard Drive: 133MB,,,0,
91810,OS: Windows XP or later Processor: 3.0 Ghz or higher. Memory: 512MB Hard Disk Space: 500 MB Video Card: Shader version 3.0 or higher compatible card DirectX®: 9.0,,,0,
91900,"OS *: Windows® XP/Vista™/7 Processor: Intel P4 3.0GHz or similar AMD Memory: 1GB RAM Hard Disk Space: 1GB available space Video Card: nVidia GeForce 6800 Ultra, ATi Radeon X1800 XT or better DirectX®: 9.0c, June 2010 update Sound: DirectX 9.0c support",,,0,
92100,OS *: Windows XP/Vista/7/8 Processor: 1 GHz Memory: 512 MB RAM Hard Disk Space: 160 MB Video Card: DirectX 9 and Shader Model 1.1 support. 512 MB required. Sound: DirectX 9 Compatible Sound Card,,,0,
92000,"Minimum: OS *: Windows XP / Windows Vista / Windows 7 with latest Service Pack Processor: Intel Core 2 Duo, AMD Athlon X2 Memory: 2 GB Graphics: NVidia 8600GT with 512MB RAM or Radeon HD 3650 with 512MB RAM DirectX®: DirectX® 9.0c Hard Drive: 8 GB Sound: DirectX Compatible Sound Card",,,16,
92200,"Operating system: Windows® XP, Vista, or Windows 7 Processor: Intel® 1 GHz Processor (Recommended: 2 GHz) Memory: 256 MB RAM (Recommended: 512 MB RAM) Hard disk space: 500MB Video: DirectX® 9 level Graphics Card Sound: DirectSound-compatible Sound Card DirectX®: DirectX 9 or above",,,0,
92210,"Operating system: Windows® XP, Vista, or Windows 7 Processor: Intel® 1 GHz Processor (Recommended: 2 GHz) Memory: 256 MB RAM (Recommended: 512 MB RAM) Hard disk space: 500MB Video: DirectX® 9 level Graphics Card Sound: DirectSound-compatible Sound Card DirectX®: DirectX 9 or above",,,0,
92220,"Operating system: Windows® XP, Vista, or Windows 7 Processor: Intel® 1 GHz Processor (Recommended: 2 GHz) Memory: 256 MB RAM (Recommended: 512 MB RAM) Hard disk space: 500MB Video: DirectX® 9 level Graphics Card Sound: DirectSound-compatible Sound Card DirectX®: DirectX 9 or above",,,0,
92300,"OS *: Microsoft Windows XP, Windows Vista or Windows 7 Processor: Intel Core™2 Duo Processor, AMD Athlon x2 Processor Memory: Windows XP：1GB, Windows Vista, 7：2GB Graphics: NVIDIA GeForce 7600 series, ATI Radeon HD 2400 series DirectX®: DirectX 9.0c Hard Drive: 300 MB Sound: DirectSound compatible (DirectX 9.0c or higher)",,,0,
92400,OS: Windows XP / Vista / 7 Processor: 1.2 GHz Processor Memory: 512 MB RAM Graphics: Graphics card must support Pixel Shader Model 2.0 Hard Drive: 100 MB Peripherals: Xbox controllers recommended but not required. The game also can be played with a keyboard.,,,0,Award
92600,"OS: Windows XP, Vista, 7 Processor: 1.7 GHz Dual Core or better Memory: 2 GB Ram Hard Disk Space: 3.5 GB Available space Video Card: 512 MB DirectX 9.0c compatible graphics card (shader model 3) DirectX®: 9.0c Sound: DirectX 9.0c compatible",,,0,
92700,Minimum: OS *: Windows 7/Vista/XP Processor: 3.2 GHz or better Memory: 2.0 GB of RAM Graphics: 256 MB RAM DirectX®: DirectX® 9.0c Hard Drive: 8 GB Space Free Sound: DirectX 9.0c compatible,,,0,
92800,OS *: Windows XP SP3 / Vista / 7 / 8 / 10 Processor: 2.0 GHz Processor Memory: 1GB RAM Hard Disk Space: 300MB Graphics: frame buffer support recommended,OS: macOS 10.9 Mavericks or later Processor: 2.0 GHz Processor Memory: 1GB RAM Hard Drive: 300MB Graphics: frame buffer support recommended,"OS: glibc 2.17+, 64-bit only Processor: 2.0 GHz Processor Memory: 1 GB RAM Hard Drive: 300 MB Graphics: frame buffer support recommended",0,Award
92900,OS *: Windows XP / Vista / 7 / 8 / 10 / 11 Processor: Intel or AMD  2.0 GHz with SSE2 support or better Memory: 1 GB Hard Disk Space: 750 MB Video Card: Geforce® ATI Radeon® 256 MB or better DirectX®: DirectX 9.0c or higher Sound: DirectX compatible Additional: Internet connection required for multiplayer,,,0,
93200,"Minimum: OS *: Windows XP or later Processor: 1.8GHz single core Memory: 512MB RAM Hard Disk Space: 490MB Video Card: OpenGL 1.5+, 128MB video memory","Minimum: OS: OS X 10.7+ Processor: 1.8GHz single core Memory: 512MB RAM Hard Disk Space: 520MB Video Card: OpenGL 1.5+, 128MB video memory","Minimum: OS: Linux (32 or 64 bit) Processor: 1.8GHz single core Memory: 512MB RAM Hard Disk Space: 520MB Video Card: OpenGL 1.5+, 128MB video memory",0,
94000,OS: Windows® XP/Vista/7 Processor: 1.6 Ghz Memory: 1 GB RAM Graphics: DirectX® 9 compatible video card DirectX®: 9.0c Hard Drive: 256 MB Sound: OpenAL compatible sound card,,,0,Award
94200,"OS *: Microsoft® Windows® XP with SP2 / Vista / 7 Processor: Intel® Pentium™ 4 2.4 GHz or better Memory: 512 MB RAM Hard Disk Space: 250 MB Video Card: Any OpenGL 2.0 graphics card with 256MB+ video RAM and full GLSL support DirectX®: DirectX® 9.0c Additional: One keyboard, controller, or mouse required per player. Supports multiple mice and/or keyboards. 3-buttons required for mouse play.","OS: OS X version Snow Leopard 10.6.3 or later. Processor: Intel® Core2 Duo 2.1 Ghz or better Memory: 2 GB RAM Hard Disk Space: 250 MB Video Card: Any OpenGL 2.0 graphics card with 256MB+ video RAM and full GLSL support Additional: One keyboard, controller, or mouse required per player. Supports multiple joysticks. 3-buttons required for mouse play.",,0,Award
94300,OS: Windows XP or later Processor: 1.8 GHz processor Memory: 1 GB RAM Hard Drive: 1.2 GB HD space Additional Notes: Mouse recommended,"OS: OSX Leopard 10.5.8, Snow Leopard 10.6.3, or later Processor: Intel Mac 1.8 GHz processor Memory: 1 GB RAM Hard Drive: 1.2 GB HD space Additional Notes: Mouse recommended",,0,Award
94400,Minimum: OS *: Microsoft® Windows® XP / Vista / 7 Processor: 1.2GHz processor Memory: 512 MB RAM Graphics: DirectX 8-compatible graphics card with at least 32MB of video memory DirectX: Version 9.0c Network: Broadband Internet connection Storage: 200 MB available space Additional Notes: Microsoft Xbox 360 Controller or Direct Input compatible controller,Minimum: OS: 10.9 Processor: 1.2GHz processor Memory: 512 MB RAM Network: Broadband Internet connection Storage: 200 MB available space,,0,Award
94500,,,,0,
94510,,,,0,
94520,,,,0,
94530,,,,0,
